SLUS-21465                       333                  1709611203          
SLUS-21346                       642                  1708549156          
SLUS-21059                       15295                1710962292          
SLES-54087                       308                  1709628859          
SLUS-20851                       5446                 1708582593          
SLUS-20306                       1675                 1711004482          
SLUS-21445                       181                  1708583285          
SLUS-20795                       321                  1708583620          
SLUS-20703                       121                  1708583778          
SCES-52530                       226                  1709613474          
SLUS-20079                       607                  1709617400          
SLUS-20277                       967                  1709617643          
SLUS-21774                       1369                 1708586783          
SCUS-97481                       4039                 1711005352          
SCUS-97399                       3039                 1710961769          
SLUS-20001                       5110                 1710963563          
SLPM-62717                       3635                 1709026073          
SLUS-20219                       8539                 1711104225          
SLUS-20645                       1340                 1710963428          
SLUS-20328                       4996                 1709604477          
SLUS-20216                       645                  1709615463          
SLUS-21879                       216                  1709210922          
SLUS-20305                       104                  1709606646          
SLUS-20221                       1037                 1709632679          
SLUS-20979                       202                  1709607092          
SLUS-20780                       2737                 1711008921          
SLUS-21816                       858                  1709610522          
SLUS-21365                       280                  1709610841          
SLUS-20040                       222                  1709621781          
SLUS-21050                       816                  1709612882          
SLUS-21192                       275                  1709613212          
SLUS-20843                       147                  1709613640          
SLUS-20639                       93                   1709613744          
SCUS-97133                       654                  1709619607          
SCUS-97408                       73                   1709614492          
SLUS-21678                       570                  1709616042          
SLUS-20874                       318                  1711009180          
SLUS-21842                       943                  1709617097          
SLUS-21566                       581                  1709618240          
SLUS-21166                       249                  1709618531          
SLUS-20047                       839                  1709619534          
SLUS-20946                       423                  1709622224          
SLES-51289                       276                  1709622564          
SLUS-20370                       103                  1709622683          
SLUS-21005                       138                  1709622829          
SLUS-20487                       618                  1711005784          
SLUS-20492                       239                  1709623438          
SLUS-20694                       382                  1709623831          
SLUS-21274                       433                  1709625753          
SLUS-21216                       19                   1709627458          
SLUS-20776                       367                  1709627990          
SLUS-21552                       208                  1709628218          
SLUS-21822                       149                  1709628378          
SLUS-20387                       218                  1709628645          
SLES-51229                       835                  1709631841          
SLPM-65555                       176                  1711004768          
SLUS-21269                       183                  1711100848          
SLUS-21168                       268                  1711101124          
SLUS-20963                       770                  1711101909          
